,pickup_cluster,lat,lon
195,4,-30.4,-13.54
196,4,-30.65,-12.18
197,4,-30.63,-11.95
198,1,-30.83,-10.82
199,1,-31.07,-9.45
200,1,-31.31,-8.08
201,1,-31.54,-6.71
202,1,-31.58,-6.48
203,1,-31.75,-5.32
204,1,-31.94,-3.91
205,1,-32.14,-2.51
206,1,-32.33,-1.1
207,1,-32.35,-0.98
208,1,-32.53,0.31
209,1,-32.73,1.72
210,1,-32.92,3.13
211,1,-33.12,4.55
212,1,-33.31,5.95
213,1,-33.5,7.35
214,1,-33.69,8.76
215,1,-33.87,10.05
216,1,-33.88,10.17
217,1,-34.09,11.64
218,1,-34.29,13.12
219,1,-34.5,14.6
220,1,-34.67,15.83
221,1,-34.7,16.09
222,1,-34.88,17.6
223,1,-35.07,19.12
224,1,-35.18,20.65
225,1,-35.08,21.8
226,1,-35.09,22.14
227,1,-35.05,23.5
228,1,-35.04,24.87
229,6,-35.04,26.24
230,6,-35.03,27.27
231,6,-35.03,27.63
232,6,-35.01,29.07
233,6,-34.84,30.48
234,6,-34.38,31.82
235,6,-34.03,32.8
236,6,-33.92,33.14
237,6,-33.47,34.51
238,6,-33.0,35.87
239,6,-32.51,37.21
240,6,-32.18,38.08
241,6,-32.01,38.52
242,6,-31.49,39.8
243,6,-30.96,41.07
244,6,-30.42,42.33
245,6,-30.1,43.05
246,6,-29.88,43.55
247,6,-29.33,44.75
248,6,-28.78,45.94
249,6,-28.22,47.11
250,6,-27.93,47.68
251,6,-27.66,48.23
252,6,-27.11,49.32
253,6,-26.55,50.4
254,6,-25.99,51.46
255,6,-25.75,51.9
256,6,-25.39,52.55
257,6,-24.76,53.65
258,6,-24.12,54.74
259,6,-23.48,55.81
260,6,-23.27,56.17
261,6,-22.87,56.85
262,6,-22.28,57.86
263,6,-21.68,58.87
264,6,-21.07,59.87
265,6,-20.87,60.2
266,6,-20.46,60.8
267,6,-19.85,61.69
268,2,-19.24,62.57
269,2,-18.62,63.44
270,2,-18.42,63.73
271,2,-18.03,64.3
272,2,-17.44,65.15
273,2,-16.85,65.99
274,2,-16.25,66.82
275,2,-16.1,67.03
276,2,-15.67,67.64
277,2,-15.09,68.46
278,2,-14.5,69.26
279,2,-13.92,70.07
280,2,-13.82,70.2
281,2,-13.26,70.94
282,2,-12.59,71.81
283,2,-11.92,72.69
284,2,-11.24,73.56
285,2,-11.18,73.63
